,UNIQUE_SUBJECT_UID,Task,Train,Test,Generations,Congruity,Ratio,Validation Accuracy
0,size_equate_1_121,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
1,size_equate_1_122,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
2,size_equate_1_123,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
3,size_equate_1_124,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
4,size_equate_1_125,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
5,size_equate_1_126,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
6,size_equate_1_127,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
8,size_equate_1_129,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
9,size_equate_1_130,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
10,size_equate_1_131,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
11,size_equate_1_132,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
12,size_equate_1_133,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
13,size_equate_1_134,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
14,size_equate_1_135,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
15,size_equate_1_136,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
16,size_equate_1_137,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
17,size_equate_1_138,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
18,size_equate_1_139,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
19,size_equate_1_140,size,AD-controlled,AD-controlled,7,Congruent,50,1.0
20,size_equate_1_121,size,AD-controlled,AD-controlled,7,Incongruent,50,0.95
21,size_equate_1_122,size,AD-controlled,AD-controlled,7,Incongruent,50,0.85
22,size_equate_1_123,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
23,size_equate_1_124,size,AD-controlled,AD-controlled,7,Incongruent,50,0.85
24,size_equate_1_125,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
25,size_equate_1_126,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
26,size_equate_1_127,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
28,size_equate_1_129,size,AD-controlled,AD-controlled,7,Incongruent,50,0.95
29,size_equate_1_130,size,AD-controlled,AD-controlled,7,Incongruent,50,0.85
30,size_equate_1_131,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
31,size_equate_1_132,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
32,size_equate_1_133,size,AD-controlled,AD-controlled,7,Incongruent,50,0.5
33,size_equate_1_134,size,AD-controlled,AD-controlled,7,Incongruent,50,0.85
34,size_equate_1_135,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
35,size_equate_1_136,size,AD-controlled,AD-controlled,7,Incongruent,50,0.85
36,size_equate_1_137,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
37,size_equate_1_138,size,AD-controlled,AD-controlled,7,Incongruent,50,1.0
38,size_equate_1_139,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
39,size_equate_1_140,size,AD-controlled,AD-controlled,7,Incongruent,50,0.9
40,size_equate_1_121,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
41,size_equate_1_122,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
42,size_equate_1_123,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
43,size_equate_1_124,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
44,size_equate_1_125,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
45,size_equate_1_126,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
46,size_equate_1_127,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
48,size_equate_1_129,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
49,size_equate_1_130,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
50,size_equate_1_131,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
51,size_equate_1_132,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
52,size_equate_1_133,size,AD-controlled,AD-controlled,7,Congruent,56,0.95
53,size_equate_1_134,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
54,size_equate_1_135,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
55,size_equate_1_136,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
56,size_equate_1_137,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
57,size_equate_1_138,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
58,size_equate_1_139,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
59,size_equate_1_140,size,AD-controlled,AD-controlled,7,Congruent,56,1.0
60,size_equate_1_121,size,AD-controlled,AD-controlled,7,Incongruent,56,0.85
61,size_equate_1_122,size,AD-controlled,AD-controlled,7,Incongruent,56,0.5
62,size_equate_1_123,size,AD-controlled,AD-controlled,7,Incongruent,56,0.8
63,size_equate_1_124,size,AD-controlled,AD-controlled,7,Incongruent,56,0.7
64,size_equate_1_125,size,AD-controlled,AD-controlled,7,Incongruent,56,0.8
65,size_equate_1_126,size,AD-controlled,AD-controlled,7,Incongruent,56,0.9
66,size_equate_1_127,size,AD-controlled,AD-controlled,7,Incongruent,56,0.8
68,size_equate_1_129,size,AD-controlled,AD-controlled,7,Incongruent,56,0.9
69,size_equate_1_130,size,AD-controlled,AD-controlled,7,Incongruent,56,0.65
70,size_equate_1_131,size,AD-controlled,AD-controlled,7,Incongruent,56,0.85
71,size_equate_1_132,size,AD-controlled,AD-controlled,7,Incongruent,56,0.9
72,size_equate_1_133,size,AD-controlled,AD-controlled,7,Incongruent,56,0.6
73,size_equate_1_134,size,AD-controlled,AD-controlled,7,Incongruent,56,0.85
74,size_equate_1_135,size,AD-controlled,AD-controlled,7,Incongruent,56,0.85
75,size_equate_1_136,size,AD-controlled,AD-controlled,7,Incongruent,56,0.8
76,size_equate_1_137,size,AD-controlled,AD-controlled,7,Incongruent,56,0.9
77,size_equate_1_138,size,AD-controlled,AD-controlled,7,Incongruent,56,0.95
78,size_equate_1_139,size,AD-controlled,AD-controlled,7,Incongruent,56,0.75
79,size_equate_1_140,size,AD-controlled,AD-controlled,7,Incongruent,56,0.85
80,size_equate_1_121,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
81,size_equate_1_122,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
82,size_equate_1_123,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
83,size_equate_1_124,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
84,size_equate_1_125,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
85,size_equate_1_126,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
86,size_equate_1_127,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
88,size_equate_1_129,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
89,size_equate_1_130,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
90,size_equate_1_131,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
91,size_equate_1_132,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
92,size_equate_1_133,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
93,size_equate_1_134,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
94,size_equate_1_135,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
95,size_equate_1_136,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
96,size_equate_1_137,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
97,size_equate_1_138,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
98,size_equate_1_139,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
99,size_equate_1_140,size,AD-controlled,AD-controlled,7,Congruent,63,1.0
100,size_equate_1_121,size,AD-controlled,AD-controlled,7,Incongruent,63,0.75
101,size_equate_1_122,size,AD-controlled,AD-controlled,7,Incongruent,63,0.35
102,size_equate_1_123,size,AD-controlled,AD-controlled,7,Incongruent,63,0.9
103,size_equate_1_124,size,AD-controlled,AD-controlled,7,Incongruent,63,0.65
104,size_equate_1_125,size,AD-controlled,AD-controlled,7,Incongruent,63,0.7
105,size_equate_1_126,size,AD-controlled,AD-controlled,7,Incongruent,63,0.8
106,size_equate_1_127,size,AD-controlled,AD-controlled,7,Incongruent,63,0.75
108,size_equate_1_129,size,AD-controlled,AD-controlled,7,Incongruent,63,0.8
109,size_equate_1_130,size,AD-controlled,AD-controlled,7,Incongruent,63,0.55
110,size_equate_1_131,size,AD-controlled,AD-controlled,7,Incongruent,63,0.75
111,size_equate_1_132,size,AD-controlled,AD-controlled,7,Incongruent,63,0.85
112,size_equate_1_133,size,AD-controlled,AD-controlled,7,Incongruent,63,0.7
113,size_equate_1_134,size,AD-controlled,AD-controlled,7,Incongruent,63,0.9
114,size_equate_1_135,size,AD-controlled,AD-controlled,7,Incongruent,63,0.7
115,size_equate_1_136,size,AD-controlled,AD-controlled,7,Incongruent,63,0.7
116,size_equate_1_137,size,AD-controlled,AD-controlled,7,Incongruent,63,0.75
117,size_equate_1_138,size,AD-controlled,AD-controlled,7,Incongruent,63,0.85
118,size_equate_1_139,size,AD-controlled,AD-controlled,7,Incongruent,63,0.7
119,size_equate_1_140,size,AD-controlled,AD-controlled,7,Incongruent,63,0.7
120,size_equate_1_121,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
121,size_equate_1_122,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
122,size_equate_1_123,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
123,size_equate_1_124,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
124,size_equate_1_125,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
125,size_equate_1_126,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
126,size_equate_1_127,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
128,size_equate_1_129,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
129,size_equate_1_130,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
130,size_equate_1_131,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
131,size_equate_1_132,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
132,size_equate_1_133,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
133,size_equate_1_134,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
134,size_equate_1_135,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
135,size_equate_1_136,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
136,size_equate_1_137,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
137,size_equate_1_138,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
138,size_equate_1_139,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
139,size_equate_1_140,size,AD-controlled,AD-controlled,7,Congruent,71,1.0
140,size_equate_1_121,size,AD-controlled,AD-controlled,7,Incongruent,71,0.7
141,size_equate_1_122,size,AD-controlled,AD-controlled,7,Incongruent,71,0.5
142,size_equate_1_123,size,AD-controlled,AD-controlled,7,Incongruent,71,0.75
143,size_equate_1_124,size,AD-controlled,AD-controlled,7,Incongruent,71,0.65
144,size_equate_1_125,size,AD-controlled,AD-controlled,7,Incongruent,71,0.7
145,size_equate_1_126,size,AD-controlled,AD-controlled,7,Incongruent,71,0.7
146,size_equate_1_127,size,AD-controlled,AD-controlled,7,Incongruent,71,0.7
148,size_equate_1_129,size,AD-controlled,AD-controlled,7,Incongruent,71,0.65
149,size_equate_1_130,size,AD-controlled,AD-controlled,7,Incongruent,71,0.5
150,size_equate_1_131,size,AD-controlled,AD-controlled,7,Incongruent,71,0.75
151,size_equate_1_132,size,AD-controlled,AD-controlled,7,Incongruent,71,0.85
152,size_equate_1_133,size,AD-controlled,AD-controlled,7,Incongruent,71,0.6
153,size_equate_1_134,size,AD-controlled,AD-controlled,7,Incongruent,71,0.65
154,size_equate_1_135,size,AD-controlled,AD-controlled,7,Incongruent,71,0.7
155,size_equate_1_136,size,AD-controlled,AD-controlled,7,Incongruent,71,0.5
156,size_equate_1_137,size,AD-controlled,AD-controlled,7,Incongruent,71,0.7
157,size_equate_1_138,size,AD-controlled,AD-controlled,7,Incongruent,71,0.8
158,size_equate_1_139,size,AD-controlled,AD-controlled,7,Incongruent,71,0.45
159,size_equate_1_140,size,AD-controlled,AD-controlled,7,Incongruent,71,0.65
160,size_equate_1_121,size,AD-controlled,AD-controlled,7,Congruent,75,0.9
161,size_equate_1_122,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
162,size_equate_1_123,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
163,size_equate_1_124,size,AD-controlled,AD-controlled,7,Congruent,75,0.85
164,size_equate_1_125,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
165,size_equate_1_126,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
166,size_equate_1_127,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
168,size_equate_1_129,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
169,size_equate_1_130,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
170,size_equate_1_131,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
171,size_equate_1_132,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
172,size_equate_1_133,size,AD-controlled,AD-controlled,7,Congruent,75,0.8
173,size_equate_1_134,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
174,size_equate_1_135,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
175,size_equate_1_136,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
176,size_equate_1_137,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
177,size_equate_1_138,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
178,size_equate_1_139,size,AD-controlled,AD-controlled,7,Congruent,75,0.9
179,size_equate_1_140,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
180,size_equate_1_121,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
181,size_equate_1_122,size,AD-controlled,AD-controlled,7,Incongruent,75,0.5
182,size_equate_1_123,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
183,size_equate_1_124,size,AD-controlled,AD-controlled,7,Incongruent,75,0.45
184,size_equate_1_125,size,AD-controlled,AD-controlled,7,Incongruent,75,0.55
185,size_equate_1_126,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
186,size_equate_1_127,size,AD-controlled,AD-controlled,7,Incongruent,75,0.8
188,size_equate_1_129,size,AD-controlled,AD-controlled,7,Incongruent,75,0.8
189,size_equate_1_130,size,AD-controlled,AD-controlled,7,Incongruent,75,0.55
190,size_equate_1_131,size,AD-controlled,AD-controlled,7,Incongruent,75,0.7
191,size_equate_1_132,size,AD-controlled,AD-controlled,7,Incongruent,75,0.8
192,size_equate_1_133,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
193,size_equate_1_134,size,AD-controlled,AD-controlled,7,Incongruent,75,0.6
194,size_equate_1_135,size,AD-controlled,AD-controlled,7,Incongruent,75,0.75
195,size_equate_1_136,size,AD-controlled,AD-controlled,7,Incongruent,75,0.6
196,size_equate_1_137,size,AD-controlled,AD-controlled,7,Incongruent,75,0.75
197,size_equate_1_138,size,AD-controlled,AD-controlled,7,Incongruent,75,0.75
198,size_equate_1_139,size,AD-controlled,AD-controlled,7,Incongruent,75,0.7
199,size_equate_1_140,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
200,size_equate_1_121,size,AD-controlled,AD-controlled,7,Congruent,86,1.0
201,size_equate_1_122,size,AD-controlled,AD-controlled,7,Congruent,86,0.9
202,size_equate_1_123,size,AD-controlled,AD-controlled,7,Congruent,86,0.8
203,size_equate_1_124,size,AD-controlled,AD-controlled,7,Congruent,86,0.9
204,size_equate_1_125,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
205,size_equate_1_126,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
206,size_equate_1_127,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
